task_order,stim_time,inter_stim_time,x_pos,y_pos,match,corr_key,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,vSAT_loop.thisRepN,vSAT_loop.thisTrialN,vSAT_loop.thisN,vSAT_loop.thisIndex,inter_stim_text.started,inter_stim_text.stopped,vSAT_square.started,vSAT_square.stopped,stim_resp.keys,stim_resp.corr,stim_resp.rt,stim_resp.started,stim_resp.stopped,response_sound.started,response_sound.stopped,feedback_sound.started,feedback_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
vSAT_stims-16529098615324342.csv,0.05,2,-0.25,-0.25,0,left,0,1,1,1,0,17,17,17,162.53023140000005,None,164.53024370000003,None,left,1,0.6985614999998688,164.580244,None,164.6635979400001,None,165.29697814000002,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,2,-0.25,0.25,0,left,0,1,1,1,0,18,18,18,165.79701799999998,None,167.79699319999986,None,left,1,0.616465000000062,167.8303664,None,167.91365933999992,None,168.46364963999991,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,2,-0.25,-0.25,0,left,0,1,1,1,0,19,19,19,168.98032319999993,None,170.9803296,None,left,1,0.569216200000028,171.0137150999999,None,171.09703584000005,None,171.6137165400001,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,1,-0.25,0.25,1,right,0,1,1,1,0,20,20,20,172.130408,None,173.13043249999987,None,right,1,0.5623556000000463,173.1804090999999,None,173.26374154,None,173.7637600399999,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,2,0.25,0.25,0,left,0,1,1,1,0,21,21,21,174.28045810000003,None,176.28047949999996,None,left,1,0.6929969999998775,176.31380880000006,None,176.39711163999988,None,177.03045544000003,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,1,0.25,-0.25,0,left,0,1,1,1,0,22,22,22,177.54715179999994,None,178.54715149999993,None,left,1,0.4903896999999233,178.58051290000003,None,178.66382774000004,None,179.11383497999998,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.028999999999999998,2,0.25,-0.25,0,left,0,1,1,1,0,23,23,23,179.63048630000003,None,181.6305324,None,left,1,0.43102379999982077,181.66387910000003,None,181.74724913999995,None,182.13054748000002,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,3,0.25,0.25,1,right,0,1,1,1,0,24,24,24,182.64723589999994,None,185.647293,None,right,1,0.2702818999998726,185.6806185999999,None,185.76395433999988,None,185.9972733799999,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,3,-0.25,0.25,1,right,0,1,1,1,0,25,25,25,186.51396909999994,None,189.51400519999993,None,right,1,0.4349065999999766,189.56400740000004,None,189.6473392399999,None,190.03068388000008,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,2,-0.25,-0.25,1,right,0,1,1,1,0,26,26,26,190.5473417999999,None,192.54738969999994,None,right,1,0.3780269999999746,192.580735,None,192.66405003999995,None,192.99737388000005,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,3,0.25,0.25,1,right,0,1,1,1,0,27,27,27,193.51405640000007,None,196.51410800000008,None,right,1,0.3306063999998514,196.56410759999994,None,196.6474613399999,None,196.93077707999998,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.017,1,0.25,-0.25,0,left,0,1,1,1,0,28,28,28,197.44745749999993,None,198.4474854,None,left,1,0.6539801000001262,198.48082249999993,None,198.56414393999995,None,199.16416693999992,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,0.05,2,0.25,-0.25,1,right,0,1,1,1,0,29,29,29,199.68084399999998,None,201.6808896,None,right,1,0.5238808999999947,201.73087609999993,None,201.8142103400001,None,202.2808674399999,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
vSAT_stims-16529098615324342.csv,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-16529098615025146.csv,0.05,2,0,0,0,left,0,2,2,2,0,0,0,0,204.99759799999993,None,206.99762710000005,None,left,1,0.8871187999998256,207.04761140000005,None,207.13091753999998,207.56440129999987,207.96427784000008,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
SAT_stims-16529098615025146.csv,0.05,1,0,0,0,left,0,2,2,2,0,1,1,1,208.48097770000004,None,209.48098979999986,None,left,1,0.9475650000001679,209.53099309999993,None,209.61432294000002,None,210.49767303999994,None,02,001,2022_Jun_17_1342,vSAT,2021.2.3,59.9714895539394,
