task_order,num_stim,match,corr_key,match_num,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,stim_text.started,stim_text.stopped,stim_resp.keys,stim_resp.corr,stim_resp.started,stim_resp.stopped,stim_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
OB-1657131786840452.csv,,,,,0,2,2,2,,,,,,,,,,,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,7,0,left,,0,3,3,3,0,0,0,0,245.825871,246.32586980000087,None,0,245.825871,None,,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,1,0,left,,0,3,3,3,0,1,1,1,249.32590000000073,249.82591050000065,left,1,249.32590000000073,249.32590000000073,0.4571353999999701,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,1,1,right,,0,3,3,3,0,2,2,2,252.82596510000076,253.32596840000042,right,1,252.82596510000076,252.82596510000076,0.3011421999999584,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,7,0,left,,0,3,3,3,0,3,3,3,256.3260719000009,256.8260183000002,left,1,256.3260719000009,256.3260719000009,1.9689244000001054,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,7,1,right,,0,3,3,3,0,4,4,4,259.8260730000002,260.3260581000004,right,1,259.8260730000002,259.8260730000002,0.5650966000002882,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,7,1,right,,0,3,3,3,0,5,5,5,263.32610530000056,263.8261439000007,right,1,263.32610530000056,263.32610530000056,0.37683449999985896,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,8,0,left,,0,3,3,3,0,6,6,6,266.8261949000007,267.32619650000015,left,1,266.8261949000007,266.8261949000007,0.46087489999990794,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,8,1,right,,0,3,3,3,0,7,7,7,270.32624920000035,270.8262048000006,right,1,270.32624920000035,270.32624920000035,0.4327880000000732,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,0,0,left,,0,3,3,3,0,8,8,8,273.82627760000014,274.32629330000054,left,1,273.82627760000014,273.82627760000014,0.42088820000026317,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,0,1,right,,0,3,3,3,0,9,9,9,277.3263497000007,277.8263614000007,right,1,277.3263497000007,277.3263497000007,0.584756400000515,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
OB-16571317868141544.csv,8,0,left,,0,3,3,3,0,10,10,10,280.82638980000047,281.32639800000015,left,1,280.82638980000047,280.82638980000047,0.6687775000000329,03,001,2022_Jul_06_1558,n_back,2021.2.3,60.017345012903746,
